domain_name,problem_name,experiment_name,search_elapsed_time,solution_size,expanded_nodes,heuristic_name,heuristic_elapsed_time,total_landmarks,task_landmarks,method_landmarks,fact_landmarks,mincov_disj_landmarks,mincov_disj_elapsed_time,facts,decompositions,operators,abstract_tasks,tor_elapsed_time
Freecell-Learned-ECAI-16,probfreecell-03-2,LMCOUNT-update,,,,,,,,,,,,,,,,
Freecell-Learned-ECAI-16,probfreecell-03-3,LMCOUNT,,,,,,,,,,,,,,,,
Freecell-Learned-ECAI-16,probfreecell-03-3,LMCOUNT-update,,,,,,,,,,,,,,,,
Freecell-Learned-ECAI-16,probfreecell-03-5,LMCOUNT,,,,,,,,,,,,,,,,
Freecell-Learned-ECAI-16,probfreecell-03-5,LMCOUNT-update,,,,,,,,,,,,,,,,
Freecell-Learned-ECAI-16,probfreecell-03-1,LMCOUNT,,,,,,,,,,,,,,,,
Freecell-Learned-ECAI-16,probfreecell-03-1,LMCOUNT-update,,,,,,,,,,,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-06-0,LMCOUNT,0.0201,80,1701,lmcount,,49,13,1,35,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-06-0,LMCOUNT-update,0.0246,80,1622,lmcount,,49,13,1,35,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-06-1,LMCOUNT,0.0114,42,717,lmcount,,47,13,1,33,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-06-1,LMCOUNT-update,0.0122,42,493,lmcount,,47,13,1,33,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-06-2,LMCOUNT,0.0201,80,1701,lmcount,,49,13,1,35,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-06-2,LMCOUNT-update,0.0244,80,1568,lmcount,,49,13,1,35,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-06-3,LMCOUNT,0.0198,73,1695,lmcount,,48,13,1,34,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-06-3,LMCOUNT-update,0.0218,73,1375,lmcount,,48,13,1,34,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-05-1,LMCOUNT,0.0117,49,842,lmcount,,44,11,1,32,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-05-1,LMCOUNT-update,0.0149,49,742,lmcount,,44,11,1,32,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-05-2,LMCOUNT,0.0086,26,336,lmcount,,43,11,1,31,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-05-2,LMCOUNT-update,0.0073,26,193,lmcount,,43,11,1,31,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-04-2,LMCOUNT,0.0103,39,818,lmcount,,38,9,1,28,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-04-2,LMCOUNT-update,0.0112,39,610,lmcount,,38,9,1,28,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-05-0,LMCOUNT,0.0246,88,2284,lmcount,,45,11,1,33,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-05-0,LMCOUNT-update,0.0326,88,2268,lmcount,,45,11,1,33,0,,,,,,
Logistics-Learned-ECAI-16,probLOGISTICS-04-0,LMCOUNT,0.0134,57,1159,lmcount,,40,9,1,30,0,,,,,,
